프로젝트,인텐트,인텐트 카테고리,No. (TE/TR),발화,TR/TE,담당자,비고,킴블린,데일,슬리,이사벨
암웨이,할부문의,,10/66,신카로 결제할 건데 할부 12개월도 가능해여,TR,킴블린,,,,,
암웨이,할부문의,,10/66,신용카드 할부 결제는 대체 어떻게 하는 거야,TR,킴블린,,,,,
암웨이,할부문의,,10/66,신용카드 할부로 긁어서 사는 것도 되는지 알고 싶다,TR,킴블린,,,,,
암웨이,할부변경문의,,15/117,할부 단축 가능 여부 알고 싶어,TE,킴블린,,,,제거,제거
암웨이,할부변경문의,,15/117,할부 기간 변경 불가능한 거야,TE,킴블린,,,,,
암웨이,할부변경문의,,15/117,못 바꿔 할부 개월수,TR,킴블린,,,,,
암웨이,할부변경문의,,15/117,신용카드 할부 개월수 변경 방법,TR,킴블린,,,,,
암웨이,할부변경문의,,15/117,할부 기간 단축하고 싶으면 어떡해,TR,킴블린,,,,,
암웨이,환불시점문의,,30/173,반품 후 환불되는 날짜,TE,킴블린,,포인트 환불 인텐트 세분화 필요,,제거,제거
암웨이,환불시점문의,,30/173,포인트 환불 언제 완료되나요,TE,킴블린,,,,,
암웨이,환불시점문의,,30/173,체크카드 환불 처리 기간이 어떻게 되니,TR,킴블린,,,,,
암웨이,환불시점문의,,30/173,반품 후 환불은 언제 되는지,TR,킴블린,,,,,
암웨이,환불시점문의,,30/173,환불했는데 입금 시점은,TR,킴블린,,,,,
암웨이,앱사용방법(HOW_TO_USE_APP),,0/42,앱 사용방법,TR,킴블린,,,,,제거
암웨이,앱사용방법(HOW_TO_USE_APP),,0/42,앱 어떻게 사용해야돼,TR,킴블린,,,,,
암웨이,앱사용방법(HOW_TO_USE_APP),,0/42,어플 이용법에 대한 가이드 필요함,TR,킴블린,,,,,
암웨이,앱사용방법(HOW_TO_USE_APP),,0/42,어플리케이션 쓰는 방법 설명,TR,킴블린,,,,,
암웨이,앱사용방법(HOW_TO_USE_APP),,0/42,어플은 어떠한 방식으로 사용해야 될까,TR,킴블린,,,,,
KEP고객센터,가입,,4/28,가입 절차가 궁금해요,TE,킴블린,,,,,제거
KEP고객센터,가입,,4/28,가입하고 싶어요,TE,킴블린,,,,,
KEP고객센터,가입,,4/28,가입하려면 어떻게 해야 하나요,TR,킴블린,,,,,
KEP고객센터,가입,,4/28,어떻게 가입할 수 있는 건가요,TR,킴블린,,,,,
KEP고객센터,가입,,4/28,회원 가입은 어떤 절차로 진행되죠,TR,킴블린,,,,,
KEP고객센터,개인정보분실,,17/147,계정을 잃어버렸어요,TE,킴블린,,,,,
KEP고객센터,개인정보분실,,17/147,아이디를 모르겠어요,TE,킴블린,,,,,
KEP고객센터,개인정보분실,,17/147,이메일 계정을 잃어버린 경우,TR,킴블린,,,,,
KEP고객센터,개인정보분실,,17/147,가입한 계정이 생각 안 나는 경우,TR,킴블린,,,,,
KEP고객센터,개인정보분실,,17/147,가입할 때 무슨 비밀번호였는지 생각이 안 나요,TR,킴블린,,,,,
KEP고객센터,개인정보수정,,8/54,아이디를 변경하고 싶어요,TE,킴블린,,,,,
KEP고객센터,개인정보수정,,8/54,비밀번호를 바꾸고 싶어요,TE,킴블린,,,,,
KEP고객센터,개인정보수정,,8/54,아이니 다른 걸로 고쳐도 되나요,TR,킴블린,,,,,
KEP고객센터,개인정보수정,,8/54,패스워드를 변경하고 싶은디,TR,킴블린,,,,,
KEP고객센터,개인정보수정,,8/54,가입했었던 아이디 변경을 못하는건가요,TR,킴블린,,,,,
KEP고객센터,고객센터연결,,11/91,상담직원이 필요해,TE,킴블린,,,,,
KEP고객센터,고객센터연결,,11/91,이해를 못 하는데,TE,킴블린,,,,,
KEP고객센터,고객센터연결,,11/91,상담직원이랑 직접 소통하는 게 필요해 보여,TR,킴블린,,,,,
KEP고객센터,고객센터연결,,11/91,직접 이야기를 해봐야 할 거 같은데 담당 직원이랑,TR,킴블린,,,,,
KEP고객센터,고객센터연결,,11/91,담당자로 바꿔줘서 그 사람이랑 말하면 좋겠는데,TR,킴블린,,,,,
KEP고객센터,교환환불,,4/35,반품하고 싶어요,TE,킴블린,,,,제거,제거
KEP고객센터,교환환불,,4/35,환불 안내,TE,킴블린,,,,,
KEP고객센터,교환환불,,4/35,환불하고 싶은데 어떠케 진행하는지 알려줘,TR,킴블린,,,,,
KEP고객센터,교환환불,,4/35,안내해줄래 반품지,TR,킴블린,,,,,
KEP고객센터,교환환불,,4/35,어디로 반품해야 하지,TR,킴블린,,,,,
KEP고객센터,금액문의,,0/1,가격이 어떻게 되는지 정보 가져와줘,TR,킴블린,,제거,,,제거
KEP고객센터,도움말,,18/90,어떤 거 해줄래,TE,킴블린,,,,,
KEP고객센터,도움말,,18/90,챗봇 사용방법,TE,킴블린,,,,,
KEP고객센터,도움말,,18/90,어떤 거에 대해 답변해줄 수 있음 여기서,TR,킴블린,,,,,
KEP고객센터,도움말,,18/90,고객센터는 어떤 서비스에 대해 답변이 가능한 거죠,TR,킴블린,,,,,
KEP고객센터,도움말,,18/90,고객센터 챗봇에 오또캐 적어야 알맞은 답을 해줄까욥,TR,킴블린,,,,,
KEP고객센터,로그아웃,,18/85,로그아웃할 수 있었으면 좋겠어요,TE,킴블린,,,,,
KEP고객센터,로그아웃,,18/85,사이트에서 다른 아이디로 로그인하고 싶어요,TE,킴블린,,,,,
KEP고객센터,로그아웃,,18/85,앱 로그아웃 할 수 있음 좋겠는데,TR,킴블린,,,,,
KEP고객센터,로그아웃,,18/85,앱 로그아웃 못 찼겠는데,TR,킴블린,,,,,
KEP고객센터,로그아웃,,18/85,모바일에서 logout하기,TR,킴블린,,,,,
KEP고객센터,로그인방법,,21/105,새로운 기기에서 로그인하고 싶어요,TE,킴블린,,,,,
KEP고객센터,로그인방법,,21/105,다른 기기에서 로그인하고 싶어요,TE,킴블린,,,,,
KEP고객센터,로그인방법,,21/105,기기 교체 시 로그인 다시 해야 해,TR,킴블린,,,,,
KEP고객센터,로그인방법,,21/105,기기 바꿨는데 로그인이 안돼요,TR,킴블린,,,,,
KEP고객센터,로그인방법,,21/105,앱 삭제한 다음에 재설치했는데 로그인 바로 되나,TR,킴블린,,,,,
KEP고객센터,알람설정,,13/56,알람은 어떻게 설정하나요,TE,킴블린,,,,,
KEP고객센터,알람설정,,13/56,알람 설정하는 방법 알려주세요,TE,킴블린,,,,,
KEP고객센터,알람설정,,13/56,기기에서 알람 설정은 어찌하냐,TR,킴블린,,,,,
KEP고객센터,알람설정,,13/56,어떻게 알람 셋팅 설정하는 거냐,TR,킴블린,,,,,
KEP고객센터,알람설정,,13/56,핸드폰에서 어떻게 알람 맞춰야 하니,TR,킴블린,,,,,
KEP고객센터,알림설정,,40/105,푸시가 늦게 와요,TE,킴블린,,"알람설정' 인텐트와 유사, 추후 합쳐야 할듯",,,
KEP고객센터,알림설정,,40/105,알림 설정 변경법,TE,킴블린,,,,,
KEP고객센터,알림설정,,40/105,알림 아이폰에서 조정하는 법 궁금해,TR,킴블린,,,,,
KEP고객센터,알림설정,,40/105,알림 설정 어떻게 바꿈,TR,킴블린,,,,,
KEP고객센터,알림설정,,40/105,알림 울리는 시간이 메시지 수신 시간과  달라요,TR,킴블린,,,,,
KEP고객센터,암호키재발급,,21/82,다시 암호 발급 방법은 뭐예요,TE,킴블린,,,암호키라는 워딩이 걸림,,제거
KEP고객센터,암호키재발급,,21/82,암호 재발급 방법 알려주세요,TE,킴블린,,,,,
KEP고객센터,암호키재발급,,21/82,비밀 번호 재발급 방법 궁금해요,TR,킴블린,,,,,
KEP고객센터,암호키재발급,,21/82,암호키 잃어버렸을 때 해결 방법 뭐야,TR,킴블린,,,,,
KEP고객센터,암호키재발급,,21/82,보통 몇 자인가요 암호키는 ,TR,킴블린,,,,,
KEP고객센터,요금제할인,,10/46,단체 적용 할인이 있어요,TE,킴블린,,제거,,,제거
KEP고객센터,요금제할인,,10/46,요금 할인 혜택,TE,킴블린,,,,,
KEP고객센터,요금제할인,,10/46,몇 명 이상 적용되는 할인이 있나요,TR,킴블린,,,,,
KEP고객센터,요금제할인,,10/46,요금 할인 혜택도 있냐,TR,킴블린,,,,,
KEP고객센터,요금제할인,,10/46,단체인데 할인을 받을 수 있나요,TR,킴블린,,,,,
KEP고객센터,인증메일수발신오류,,20/100,인증 메일이 안 와요,TE,킴블린,,,,,제거
KEP고객센터,인증메일수발신오류,,20/100,인증 번호가 메일로 안 와요,TE,킴블린,,,,,
KEP고객센터,인증메일수발신오류,,20/100,인증메일이 안 오는 건 무슨 의미야,TR,킴블린,,,,,
KEP고객센터,인증메일수발신오류,,20/100,메일로 인증 번호가 발송이 안됐어요,TR,킴블린,,,,,
KEP고객센터,인증메일수발신오류,,20/100,인증번호 메일이 수신되지 않은 경우,TR,킴블린,,,,,
KEP고객센터,장점,,0/1,서비스를 이용하면 어떤 메리트릍 얻을 수 있을까,TR,킴블린,,제거 - 추후 '회사 소개' 정도로 가져갈 수 있을듯,,,
KEP고객센터,정보수정,,16/55,정보 수정하고 싶어요,TE,킴블린,,,,,
KEP고객센터,정보수정,,16/55,이름을 변경할 수 있나요,TE,킴블린,,,,,
KEP고객센터,정보수정,,16/55,이름을 변경할 수 있나요,TR,킴블린,,,,,
KEP고객센터,정보수정,,16/55,이름 바꾸는 방법 좀,TR,킴블린,,,,,
KEP고객센터,정보수정,,16/55,회원의 정보를 수정하고 싶어요,TR,킴블린,,,,,
KEP고객센터,탈퇴,,26/52,탈퇴하고 싶어요,TE,킴블린,,,,,
KEP고객센터,탈퇴,,26/52,회원 계정 영구 삭제 가능한가요,TE,킴블린,,,,,
KEP고객센터,탈퇴,,26/52,회원 탈퇴 문의는 어디로 가면 되조,TR,킴블린,,,,,
KEP고객센터,탈퇴,,26/52,회원 탈퇴 시 정보는 어떻게 되나요,TR,킴블린,,,,,
KEP고객센터,탈퇴,,26/52,탈퇴 이미 했는데 기존 정보들은 어떻게 됨,TR,킴블린,,,,,
KEP고객센터,프로모션안내,,5/62,프로모션 내용 궁금해요,TE,킴블린,,제거,암웨이 프로모션과 동일,,제거
KEP고객센터,프로모션안내,,5/62,프로모션 기간은 어떻게 되나요,TE,킴블린,,,,,
KEP고객센터,프로모션안내,,5/62,프로모션이 뭔지 알고 있어요,TR,킴블린,,,,,
KEP고객센터,프로모션안내,,5/62,요즘 올라온 프로모션이 뭔데,TR,킴블린,,,,,
KEP고객센터,프로모션안내,,5/62,프로모션 혜택 받는 방법에 대해 말해줘,TR,킴블린,,,,,
카카오페이,기타서비스_진입,일반 안내,21/71,기타 서비스 안내,TE,슬리,,제거 - '기타 서비스?',,,
카카오페이,기타서비스_진입,일반 안내,21/71,다른 서비스 안내해줘,TE,슬리,,,,,
카카오페이,기타서비스_진입,일반 안내,21/71,기타 어떤 서비스가 있는지 궁금해,TR,슬리,,,,,
카카오페이,기타서비스_진입,일반 안내,21/71,기타 서비스에는 과연 어떤 서비스가 포함되어 있을지,TR,슬리,,,,,
카카오페이,기타서비스_진입,일반 안내,21/71,제공하는 기타 서비스들 좀 소개 해줘봐,TR,슬리,,,,,
카카오페이,비밀번호_안내,계정 안내,21/76,비밀번호 찾기,TE,슬리,,,,,
카카오페이,비밀번호_안내,계정 안내,21/76,비밀번호 5회 오류가 났어요,TE,슬리,,,,,
카카오페이,비밀번호_안내,계정 안내,21/76,비밀번호 몇 번을 입력해도 틀리는데 어떡하죠,TR,슬리,,,,,
카카오페이,비밀번호_안내,계정 안내,21/76,비밀번호를 분실했을 때는 어떻게 해야 하죠,TR,슬리,,,,,
카카오페이,비밀번호_안내,계정 안내,21/76,송금 비밀번호 잠겼음,TR,슬리,,금융 특수적인 발화 (제거 필요),,,
카카오페이,상담사_연결,일반 안내,21/80,상담사 연결,TE,슬리,,,,,
카카오페이,상담사_연결,일반 안내,21/80,고객센터 연결,TE,슬리,,,,,
카카오페이,상담사_연결,일반 안내,21/80,상담원이랑 전화로 얘기하고 싶어,TR,슬리,,,,,
카카오페이,상담사_연결,일반 안내,21/80,잘 모르겠네요 상담직원 없나요,TR,슬리,,,,,
카카오페이,상담사_연결,일반 안내,21/80,고객센터 전화번호가 뭔지 알려주세요,TR,슬리,,,,,
카카오페이,스몰톡_소개,스몰톡,1/68,네 취미가 모니,TE,슬리,,보류,,,
카카오페이,스몰톡_소개,스몰톡,1/68,네 나이,TR,슬리,,,,,
카카오페이,스몰톡_소개,스몰톡,1/68,네 취미가 뭔데,TR,슬리,,,,,
카카오페이,스몰톡_소개,스몰톡,1/68,넌 어디서 왔어,TR,슬리,,,,,
카카오페이,스몰톡_소개,스몰톡,1/68,넌 어디 출신이야,TR,슬리,,,,,
카카오페이,챗봇 홈,일반 안내,1/79,좀 도와줘,TE,슬리,,,,,
카카오페이,챗봇 홈,일반 안내,1/79,나랑 이야기할래,TR,슬리,,,,,
카카오페이,챗봇 홈,일반 안내,1/79,너 거기 있니,TR,슬리,,,,,
카카오페이,챗봇 홈,일반 안내,1/79,도움,TR,슬리,,,,,
카카오페이,챗봇 홈,일반 안내,1/79,반갑습니당,TR,슬리,,이후 스몰톡과 겹칠 우려 존재,,,
카카오페이,휴지통,폴백,1/129,ㅂㄹㄴㄹㄹㅎㄷ서ㅠ,TE,슬리,,보류,,,
카카오페이,휴지통,폴백,1/129,아이린,TE,슬리,,,,,
카카오페이,휴지통,폴백,1/129,산본 이마트 쉬는날,TR,슬리,,향후 다른 인텐트와 겹칠 우려 존재,,,
카카오페이,휴지통,폴백,1/129,메디컬동물병원숲,TR,슬리,,,,,
카카오페이,휴지통,폴백,1/129,문의하신 내용 관련하여 답변 드리겠습니다 신속하게 답변 드리지 못해 죄송합니다 본인확인 정보 초기화를 위해 보내주신 서류 확인 시 카카오페이 서비스 중 [ 카드/카카오머니 ] 서비스가 탈퇴되지 않아 즉각적인 처리에 어려움이 있는 점 안내드립니다 번거로우시겠지만 본인인증 초기화 진행을 위해 카카오페이 고객센터를 통해 [ 카드/카카오머니 ] 서비스 해지를 요청하신 후 재문의 주시면 빠르게 도움드리도록 하겠습니다 서비스 해지하면 남은 돈은 소멸 안되고 그대로 쓸 수 있는 건가요 이 휴대폰 쓰던 이전 명의자가 지금 이용하고 있는 휴대폰에서 카카오페이가 해지 되지는 않을까요 아니라면 해지 부탁드립니다~,TR,슬리,,,,,
카카오페이,계정가입_본인인증,계정 안내,25/73(55),계정 인증 불가합니다,TE,슬리,,,,,
카카오페이,계정가입_본인인증,계정 안내,25/73(55),통신사 정보 불일치로 본인인증 오류,TE,슬리,,,,,
카카오페이,계정가입_본인인증,계정 안내,25/73(55),인증하니까 틀리다고 나오면서 본인인증이 안돼요,TR,슬리,,,,,
카카오페이,계정가입_본인인증,계정 안내,25/73(55),가입하고 싶은데 외국이라 그런지 인증이 안되네요,TR,슬리,,,,,
카카오페이,계정가입_본인인증,계정 안내,25/73(55),기존에 등록된 정보랑 다르다며 인증이 실패해요,TR,슬리,,,,,
카카오페이,계정정보_변경,계정 안내,20/83,번호 바껴서 정보 변경 부탁드립니다,TE,슬리,,,,,
카카오페이,계정정보_변경,계정 안내,20/84,개인정보 변경,TE,슬리,,,,,
카카오페이,계정정보_변경,계정 안내,20/85,불가피한 사유로 이름을 변경하게 되었는데 어찌 처리하나요,TR,슬리,,,,,
카카오페이,계정정보_변경,계정 안내,20/86,계정 초기화 요청합니다,TR,슬리,,,,,
카카오페이,계정정보_변경,계정 안내,20/87,명의 다른걸 해결하려면 무조건 계정을 초기화하는 거냐,TR,슬리,,,,,
카카오페이,알림톡차단_문의,일반 안내,20/75,광고 알림 끄기,TE,슬리,,,,,
카카오페이,알림톡차단_문의,일반 안내,20/75,알림 문자 차단합니다,TE,슬리,,,,,
카카오페이,알림톡차단_문의,일반 안내,20/75,광고성 문자 차단해줘,TR,슬리,,,,,
카카오페이,알림톡차단_문의,일반 안내,20/75,결제 알림 문자를 보기가 너무 힘드네요 광고문자가 너무 많아서,TR,슬리,,,,,
카카오페이,알림톡차단_문의,일반 안내,20/75,수신 동의 설정,TR,슬리,,,,,
GS건설,개인정보변경요청,계정 안내,39/130,개인 정보 변경 어떻게 해,TE,슬리,,,,,
GS건설,개인정보변경요청,계정 안내,39/130,주소 어떻게 바꾸는지 알려줘,TE,슬리,,,,,
GS건설,개인정보변경요청,계정 안내,39/130,인적사항 변경을 하고 싶은데 가능하니,TR,슬리,,,,,
GS건설,개인정보변경요청,계정 안내,39/130,주소지 변경하고싶어 인터넷으로는 변경이 절대 안되는 거야,TR,슬리,,,,,
GS건설,개인정보변경요청,계정 안내,39/130,개명해서 신고하려면 어떤 서류가 필요한지 가르쳐줘,TR,슬리,,,,,
GS건설,상담요청,일반 안내,30/90,상담사 연결 부탁해,TE,슬리,,,,,
GS건설,상담요청,일반 안내,30/90,1:1 연결하고 싶은데요,TE,슬리,,,,,
GS건설,상담요청,일반 안내,30/90,챗봇에 문의하고 싶은게 없는데 어디로 얘기해야 됨 ,TR,슬리,,,,,
GS건설,상담요청,일반 안내,30/90,나이가 많아서 챗봇 사용 못하겠어 상담사랑 통화할게 ,TR,슬리,,,,,
GS건설,상담요청,일반 안내,30/90,직원이랑 상담하고 싶어,TR,슬리,,,,,
GS건설,인사,스몰톡,0/121,안녕,TR,슬리,,보류 - 스몰톡,,,
GS건설,인사,스몰톡,0/121,하잉,TR,슬리,,,,,
GS건설,인사,스몰톡,0/121,헬로헬로,TR,슬리,,,,,
GS건설,인사,스몰톡,0/121,아리가또,TR,슬리,,,,,
GS건설,인사,스몰톡,0/121,처음 뵙겠습니다,TR,슬리,,,,,
GS건설,감사,스몰톡,0/200,와 정말 감사합니다,TR,슬리,,,,,
GS건설,감사,스몰톡,0/200,thank you,TR,슬리,,,,,
GS건설,감사,스몰톡,0/200,땅큐땅큐,TR,슬리,,,,,
GS건설,감사,스몰톡,0/200,진짜 ㄳ,TR,슬리,,,,,
GS건설,감사,스몰톡,0/200,고마우 정말로,TR,슬리,,,,,
GS건설,칭찬,스몰톡,0/200,영리하네 완전히,TR,슬리,,,,,
GS건설,칭찬,스몰톡,0/200,짱 좋아,TR,슬리,,,,,
GS건설,칭찬,스몰톡,0/200,모르는거 1도 없네,TR,슬리,,,,,
GS건설,칭찬,스몰톡,0/200,너 진짜 레게노,TR,슬리,,,,,
GS건설,칭찬,스몰톡,0/200,최고네 AI중에서,TR,슬리,,,,,
GS건설,비난,스몰톡,0/200,가만안둬,TR,슬리,,,,,
GS건설,비난,스몰톡,0/200,아 존나 바보같아,TR,슬리,,,,,
GS건설,비난,스몰톡,0/200,아닐걸,TR,슬리,,,,,
GS건설,비난,스몰톡,0/200,ㄴㄴㄴㄴㄴ,TR,슬리,,,,,
GS건설,비난,스몰톡,0/200,병신새끼,TR,슬리,,,,,
GS건설,호명,스몰톡,0/200,있잖아,TR,슬리,,,,,
GS건설,호명,스몰톡,0/200,자기야,TR,슬리,,,,,
GS건설,호명,스몰톡,0/200,여기좀바바,TR,슬리,,,,,
GS건설,호명,스몰톡,0/200,저기 선생님,TR,슬리,,,,,
GS건설,호명,스몰톡,0/200,야아아아아아,TR,슬리,,,,,
GS건설,기능,스몰톡,0/200,너 뭐 할 수 있어,TR,슬리,,,,,
GS건설,기능,스몰톡,0/200,뭐 할 수 있음,TR,슬리,,,,,
GS건설,기능,스몰톡,0/200,이게뭐얌,TR,슬리,,,,,
GS건설,기능,스몰톡,0/200,할수있는게 몬데,TR,슬리,,,,,
GS건설,기능,스몰톡,0/200,답해줄수 있는 질문이 뭐니,TR,슬리,,,,,
GS건설,답변,스몰톡,0/250,응,TR,슬리,,,,,
GS건설,답변,스몰톡,0/250,ㅇㅇㅇㅇㅇㅇ,TR,슬리,,,,,
GS건설,답변,스몰톡,0/250,무슨 말인지 알겠음,TR,슬리,,,,,
GS건설,답변,스몰톡,0/250,넹 알또요,TR,슬리,,,,,
GS건설,답변,스몰톡,0/250,또 보자잉,TR,슬리,,,,,
GS건설,웃음,스몰톡,0/200,ㅋㅋㅋㅋㅋㅋ,TR,슬리,,,,,
GS건설,웃음,스몰톡,0/200,ㅎㅎㅎㅎㅎㅎㅎㅎ,TR,슬리,,,,,
GS건설,웃음,스몰톡,0/200,키키키킼ㅋㄴㅋㅋㅋㅋㅋ,TR,슬리,,,,,
GS건설,웃음,스몰톡,0/200,허허허헠ㅋㅋㅋㅋㅋ,TR,슬리,,,,,
GS건설,웃음,스몰톡,0/200,키득ㅋ히킿ㅎㅎㅋㅋ,TR,슬리,,,,,
GS건설,기타,스몰톡,0/200,날씨,TR,슬리,,,,,
GS건설,기타,스몰톡,0/200,점심추천,TR,슬리,,,,,
GS건설,기타,스몰톡,0/200,오늘 피곤함,TR,슬리,,,,,
GS건설,기타,스몰톡,0/200,지금모할까,TR,슬리,,,,,
GS건설,기타,스몰톡,0/200,뭘 먹어야 잘먹었다고 소문나지,TR,슬리,,,,,
지자체공통봇,감사,스몰톡,20/83,고맙습니다,TE,슬리,,,,,
지자체공통봇,감사,스몰톡,20/83,카톡 대화 종료요,TE,슬리,,,,,
지자체공통봇,감사,스몰톡,20/83,이런 거까지 가능하다니 너 정말 똑똑하구나,TR,슬리,,,,,
지자체공통봇,감사,스몰톡,20/83,ㅇㅋ 해결돼쓰,TR,슬리,,,,,
지자체공통봇,감사,스몰톡,20/83,그만 대화 종료해도 될 것 같아 고마워,TR,슬리,,,,,
지자체공통봇,자주묻는질문,일반 안내,20/95,FAQ 확인 가능할까,TE,슬리,,,,,
지자체공통봇,자주묻는질문,일반 안내,20/95,어떤 질문이 인기 있어,TE,슬리,,,,,
지자체공통봇,자주묻는질문,일반 안내,20/95,사람들이 궁금해 하는 내용이 담긴 인기 질문을 알려줘,TR,슬리,,,,,
지자체공통봇,자주묻는질문,일반 안내,20/95,빠르게 준비된 답변을 받아볼 수 있을까,TR,슬리,,,,,
지자체공통봇,자주묻는질문,일반 안내,20/95,사람들이 어떤 걸 많이 질문하는지 확인할 수 있어,TR,슬리,,,,,
지자체공통봇,발화가이드,일반 안내,20/80,무엇을 물어보면 되나요,TE,슬리,,,,,
지자체공통봇,발화가이드,일반 안내,20/80,질문 가이드가 있다면 얘기해줘,TE,슬리,,,,,
지자체공통봇,발화가이드,일반 안내,20/80,챗봇 사용 방법에 대한 안내는 어디있죠,TR,슬리,,,,,
지자체공통봇,발화가이드,일반 안내,20/80,아무거나 물어봐도 너가 다 대답해주는거야,TR,슬리,,,,,
지자체공통봇,발화가이드,일반 안내,20/80,어떤 문장으로 말해야 알아 들을 수 있어,TR,슬리,,,,,
BNK캐피탈,개인정보변경,,20/182,개인정보 바꿔야 합니다,TE,데일,,,,,
BNK캐피탈,개인정보변경,,20/182,개인정보 변경해야 해,TE,데일,,,,,
BNK캐피탈,개인정보변경,,20/182,민증번호 변경됐어요,TR,데일,,,,,
BNK캐피탈,개인정보변경,,20/182,개명했는데 어떻게 하죠,TR,데일,,,,,
BNK캐피탈,개인정보변경,,20/182,전화버노 좀 정정해줄래,TR,데일,,,,,
BNK캐피탈,광고수신거부신청,,20/176,마케팅 안 받는 방법,TE,데일,,,,,
BNK캐피탈,광고수신거부신청,,20/176,광고 안 보내면 안 되냐,TE,데일,,,,,
BNK캐피탈,광고수신거부신청,,20/176,SNS 광고 수신거부해줘,TR,데일,,,,,
BNK캐피탈,광고수신거부신청,,20/176,마케팅 거부한다고 누누이 전화했음,TR,데일,,,,,
BNK캐피탈,광고수신거부신청,,20/176,광고 거절하는 방법이 궁금한데 어디에서 확인할 수 있음,TR,데일,,,,,
BNK캐피탈,납입내역조회,,20/367,납입이력확인,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,납입내역조회,,20/367,현재까지 납부 이력,TE,데일,,,,,
BNK캐피탈,납입내역조회,,20/367,잔여회차 안내해,TR,데일,,,,,
BNK캐피탈,납입내역조회,,20/367,입금 여부 확인되나요,TR,데일,,,,,
BNK캐피탈,납입내역조회,,20/367,대출금 입금한 거 확인이 될까요,TR,데일,,,,,
BNK캐피탈,내대출조회,,20/298,계약한 대출 조건 어디서 봐,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,내대출조회,,20/298,내 대출을 조회해줘,TE,데일,,,,,
BNK캐피탈,내대출조회,,20/298,대출 계약서 조건 말해줘요,TR,데일,,,,,
BNK캐피탈,내대출조회,,20/298,가상계좌번호 알아보기,TR,데일,,,,,
BNK캐피탈,내대출조회,,20/298,상환스케쥴 확인이 필요해,TR,데일,,,,,
BNK캐피탈,대출금리조회,,20/177,대출 이자가 얼마야,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출금리조회,,20/177,신용대출 금리 어느 정도 나오니,TE,데일,,,,,
BNK캐피탈,대출금리조회,,20/177,금리 안내 페이지 연결해줘,TR,데일,,,,,
BNK캐피탈,대출금리조회,,20/177,자동대출 금리 얼마 정도야,TR,데일,,,,,
BNK캐피탈,대출금리조회,,20/177,앱에서 대출 연금리 알 수 있는 방법,TR,데일,,,,,
BNK캐피탈,대출기간조회,,20/174,신용대출 가능한 최대 기간,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출기간조회,,20/174,중금리대출 기간 여쭤봅니다,TE,데일,,,,,
BNK캐피탈,대출기간조회,,20/174,렌터카 몇 개월 가능해,TR,데일,,,,,
BNK캐피탈,대출기간조회,,20/174,아파트담보대출의 상환기간을 너 알고 있니,TR,데일,,,,,
BNK캐피탈,대출기간조회,,20/174,다이렉트론 대출 가능 기간 확인 요청,TR,데일,,,,,
BNK캐피탈,대출만기연장,,20/198,대출 끝나는 일자 연장 요청,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출만기연장,,20/198,자동차리스 만기 일자 연장해줘,TE,데일,,,,,
BNK캐피탈,대출만기연장,,20/198,대출 만기일 늘려줘,TR,데일,,,,,
BNK캐피탈,대출만기연장,,20/198,아파트 담보대출 기간 좀 늘려줘,TR,데일,,,,,
BNK캐피탈,대출만기연장,,20/198,기업 대출 만기 늘릴 수 있을까,TR,데일,,,,,
BNK캐피탈,대출사기문의,,20/288,사기 친 사람 신고는,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출사기문의,,20/288,명의 도용된 거면 어떤 피해가 있나요,TE,데일,,,,,
BNK캐피탈,대출사기문의,,20/288,명의 도용해서 대출했나봐,TR,데일,,,,,
BNK캐피탈,대출사기문의,,20/288,누군가 내 명의를 훔쳐가지고 대출을 받았나봐요 어떻게 해,TR,데일,,,,,
BNK캐피탈,대출사기문의,,20/288,신청이력이 확인되면 사기입니다,TR,데일,,,,,
BNK캐피탈,대출상품조회,,20/276,다이렉트론 신청 조건이 있나요,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출상품조회,,20/276,기업 대출 상품을 이용하려고 하는데,TE,데일,,,,,
BNK캐피탈,대출상품조회,,20/276,대출 상품 목록 보여주세요,TR,데일,,,,,
BNK캐피탈,대출상품조회,,20/276,자동대출 조건 확인하는 법,TR,데일,,,,,
BNK캐피탈,대출상품조회,,20/276,소액대출 상품 찾습니다,TR,데일,,,,,
BNK캐피탈,대출수수료조회,,20/182,일부상환하면 수수료 발생되는지,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출수수료조회,,20/182,대출받을 때 추가 비용 확인 요청,TE,데일,,,,,
BNK캐피탈,대출수수료조회,,20/182,수수료 종류 알려주세요,TR,데일,,,,,
BNK캐피탈,대출수수료조회,,20/182,자동차 대출 수수료 종류 알려줘,TR,데일,,,,,
BNK캐피탈,대출수수료조회,,20/182,신용대출 수수료 안내 바랍니다,TR,데일,,,,,
BNK캐피탈,대출신청,,19/284,기업 대출 상담받고 싶어요,TE,데일,,제거,금융 도메인,제거,제거
BNK캐피탈,대출신청,,19/284,대출받으려고 하는데 어떻게 해,TE,데일,,,,,
